test,events-sent,error
EpTO-100-1sec,59913.0,164.33231913142114
EpTO-50-1sec,59993.8,3.326659986633453
EpTO-50-2sec,119898.2,9.75021367287237
EpTO-add-suspend,59798.6,140.10726049867782
EpTO-real-trace,165844.2,210.22297686028736
EpTO-suspend,53898.5,133.95293535002895
JGroups-100-1sec,60023.1,287.15092818160275
JGroups-50-1sec,59961.9,10.928555866779838
JGroups-50-2sec,119885.7,5.012207320354915
JGroups-add-suspend-coord,59507.9,240.91466907969266
JGroups-add-suspend-nocoord,59450.5,175.1718204126068
JGroups-coord,166183.0,1368.9550759612227
JGroups-nocoord,166585.8,824.9983030285581
JGroups-suspend-coord,53834.7,175.46386142641057
JGroups-suspend-nocoord,53830.5,200.35593327875205
